# Breeze2-VITS 英文和數字轉中文對照表
# 格式：原文|中文發音
# 支援正則表達式匹配

# === 數字轉換 ===
0|零
1|一
2|二
3|三
4|四
5|五
6|六
7|七
8|八
9|九
10|十
11|十一
12|十二
13|十三
14|十四
15|十五
16|十六
17|十七
18|十八
19|十九
20|二十

# === 常用英文單詞 ===
hello|哈囉
hi|嗨
hey|嘿
bye|拜拜
goodbye|再見
ok|歐凱
okay|歐凱
yes|是的
no|不
good|好的
bad|不好
new|新的
old|舊的
big|大的
small|小的
long|長的
short|短的

# === 技術詞彙 ===
ai|人工智慧
cpu|中央處理器
gpu|圖形處理器
app|應用程式
api|程式介面
url|網址
html|超文本標記語言
css|層疊樣式表
js|腳本語言
javascript|腳本語言
python|派森
java|爪哇
php|皮H皮
sql|結構化查詢語言
json|資料格式
xml|標記語言
http|超文本傳輸協定
https|安全超文本傳輸協定
ftp|檔案傳輸協定
ssh|安全外殼協定

# === 社交媒體和品牌 ===
facebook|臉書
instagram|照片分享平台
twitter|推特
youtube|影片平台
google|谷歌
apple|蘋果
microsoft|微軟
amazon|亞馬遜
netflix|網飛
spotify|音樂平台
uber|優步
tesla|特斯拉
nike|耐吉
samsung|三星
sony|索尼

# === 常用英文字母 ===
a|欸
b|比
c|西
d|迪
e|伊
f|艾芙
g|吉
h|艾奇
i|愛
j|傑
k|凱
l|艾爾
m|艾姆
n|恩
o|歐
p|皮
q|克優
r|艾爾
s|艾斯
t|提
u|優
v|威
w|達布優
x|艾克斯
y|歪
z|資德

# === 時間相關 ===
am|上午
pm|下午
monday|星期一
tuesday|星期二
wednesday|星期三
thursday|星期四
friday|星期五
saturday|星期六
sunday|星期日
january|一月
february|二月
march|三月
april|四月
may|五月
june|六月
july|七月
august|八月
september|九月
october|十月
november|十一月
december|十二月

# === 常用縮寫 ===
diy|自己動手做
wifi|無線網路
usb|通用序列匯流排
cd|光碟
dvd|數位影音光碟
mp3|音樂檔案
mp4|影片檔案
pdf|可攜式文件格式
jpg|圖片格式
png|圖片格式
gif|動圖格式
zip|壓縮檔案
rar|壓縮檔案

# === 學術和專業詞彙 ===
phd|博士
mba|企業管理碩士
ceo|執行長
cto|技術長
cfo|財務長
hr|人力資源
pr|公關
it|資訊技術
iot|物聯網
ar|擴增實境
vr|虛擬實境
ml|機器學習
dl|深度學習
nlp|自然語言處理
cv|電腦視覺

# === 日常用語 ===
email|電子郵件
e-mail|電子郵件
website|網站
online|線上
offline|離線
download|下載
upload|上傳
login|登入
logout|登出
password|密碼
username|使用者名稱
update|更新
upgrade|升級
install|安裝
uninstall|解除安裝
backup|備份
restore|還原

# === 常見組織和地名 ===
usa|美國
uk|英國
nyc|紐約市
la|洛杉磯
sf|舊金山
nasa|美國太空總署
fbi|聯邦調查局
cia|中央情報局
who|世界衛生組織
un|聯合國
eu|歐盟
nato|北大西洋公約組織

# === 其他常用 ===
tv|電視
pc|個人電腦
mac|蘋果電腦
ios|蘋果作業系統
android|安卓系統
windows|視窗系統
linux|林納克斯系統
xbox|遊戲主機
ps|遊戲主機
nintendo|任天堂
steam|遊戲平台
twitch|直播平台
discord|語音平台
zoom|視訊會議
slack|辦公通訊軟體
